Температура;Осадки;Влажность;Ветер;Сорняки;Урожайность
18.май;120;65;03.фев;5;92
22.0;90;60;04.янв;10;85
15.0;200;80;02.май;15;78
25.0;50;55;5.0;20;65
12.0;250;85;01.авг;8;70
20.0;150;70;3.0;12;88
17.0;180;75;2.0;25;60
23.май;70;50;6.0;30;50
14.0;220;82;01.май;7;75
19.0;130;68;03.май;18;80
16.май;160;72;02.авг;22;68
21.0;110;63;03.авг;9;83
13.май;230;83;01.июн;11;72
24.0;60;53;05.май;27;55
18.0;140;67;03.мар;14;82
11.май;240;87;01.мар;6;73
22.май;80;58;04.май;23;63
16.0;170;73;02.мар;19;77
19.май;125;69;03.июн;16;81
14.май;210;81;01.сен;13;74
23.0;75;56;05.фев;28;58
17.май;155;71;02.июн;21;79
20.май;105;62;4.0;17;84
12.май;235;84;01.июл;4;76
24.май;55;52;05.авг;31;48
18.фев;135;66;03.апр;24;69
15.май;190;76;02.янв;26;64
21.май;95;59;04.мар;29;61
13.0;225;82;01.апр;3;86
19.фев;128;68;03.июл;32;54
16.авг;165;72;02.сен;33;59
22.фев;85;57;04.июн;34;53
17.авг;175;74;02.апр;35;57
20.авг;115;64;04.фев;36;62
14.авг;205;79;02.фев;37;66
23.авг;65;54;05.мар;38;51
18.авг;145;69;03.сен;39;67
15.авг;195;77;02.июл;40;63
21.авг;100;61;04.апр;41;65
12.авг;245;86;01.фев;42;71
24.фев;58;51;05.июн;43;49
19.авг;132;70;03.янв;44;72
16.фев;168;73;02.май;45;70
22.авг;82;58;04.июл;46;56
17.фев;178;75;02.июн;47;58
20.фев;108;63;04.янв;48;74
14.фев;215;80;01.авг;49;75
23.фев;68;55;05.апр;50;52
18.янв;138;67;3.0;2;89
15.янв;185;76;02.фев;1;91
21.янв;92;60;4.0;3;87
13.янв;228;83;01.мар;4;82
24.янв;52;53;05.июл;6;47
19.янв;127;69;03.фев;7;83
16.янв;163;72;02.апр;8;81
22.янв;87;59;04.авг;9;79
17.янв;173;74;02.июл;10;77
20.янв;112;65;04.мар;11;80
14.янв;208;79;01.сен;12;76
23.янв;62;56;05.янв;13;54
18.июн;142;68;03.май;14;78
15.июн;192;77;02.авг;15;73
21.июн;97;62;04.сен;16;71
12.июн;238;85;01.янв;17;69
24.июн;53;54;05.сен;18;46
19.июн;133;70;03.авг;19;70
16.июн;167;73;02.сен;20;68
22.июн;83;60;04.май;21;60
17.июн;177;75;02.янв;22;62
20.июн;107;64;04.апр;23;67
14.июн;212;80;01.июл;24;72
23.июн;67;57;05.фев;25;53
18.июл;137;69;03.июн;26;74
15.июл;187;78;02.мар;27;71
21.июл;93;61;04.июл;28;69
13.июл;232;84;01.май;29;75
24.июл;57;55;05.май;30;50
19.июл;129;71;03.сен;31;66
16.июл;164;74;02.авг;32;64
22.июл;84;59;04.июн;33;59
17.июл;174;76;02.июл;34;61
20.июл;109;65;04.фев;35;65
14.июл;209;81;01.июн;36;73
23.июл;63;56;05.мар;37;55
18.сен;141;70;03.июл;38;72
15.сен;191;79;02.сен;39;70
21.сен;96;63;04.авг;40;68
12.сен;237;86;1.0;41;67
24.сен;54;57;05.апр;42;48
19.сен;134;72;03.апр;43;69
16.сен;166;75;02.июн;44;66
22.сен;86;60;04.сен;45;58
17.сен;176;77;02.фев;46;60
20.сен;106;66;04.янв;47;64
14.сен;211;82;01.авг;48;71
23.сен;64;58;5.0;49;56
18.мар;139;71;03.янв;50;73
